Date,SPY,QQQ,IEF,LQD,GLD
2022-06-16,346.059723,264.336273,87.20108,91.448769,172.690002
2022-06-17,346.805756,267.550446,87.227203,91.633003,171.270004
2022-06-21,355.536133,274.30072,86.774506,90.711937,170.630005
2022-06-22,354.891479,273.900574,87.871407,91.373405,171.309998
2022-06-23,358.370361,277.979828,88.367599,92.076828,170.259995
2022-06-24,369.764343,287.504364,88.054214,92.185677,170.089996
2022-06-27,368.351959,285.396484,87.558022,91.339928,169.899994
2022-06-28,360.82547,276.701355,87.671173,91.314819,169.619995
2022-06-29,360.531647,276.955017,88.376297,91.859077,169.490005
2022-06-30,357.602539,273.519928,89.055328,92.13546,168.460007
2022-07-01,361.384766,275.325348,90.009995,93.300026,168.320007
2022-07-05,362.067261,280.038849,90.341324,93.27478,164.75
2022-07-06,363.290039,281.834381,89.574081,92.813026,162.139999
2022-07-07,368.731079,287.865417,89.024796,92.804596,162.229996
2022-07-08,368.427856,288.226471,88.484268,92.653503,162.300003
2022-07-11,364.219055,282.068787,89.181732,92.913773,161.429993
2022-07-12,360.996124,279.336182,89.390984,93.048103,160.830002
2022-07-13,359.10025,278.760437,89.774597,93.745018,161.600006
2022-07-14,358.22818,279.755859,89.277672,93.148834,159.330002
2022-07-15,365.072205,284.830414,89.582779,93.896141,159.009995
2022-07-18,362.05777,282.419983,89.321228,93.241219,159.160004
2022-07-19,371.840302,291.105316,88.911476,93.501526,159.539993
2022-07-20,374.210114,295.721252,88.824287,93.400764,158.039993
2022-07-21,378.02066,299.966339,89.835602,94.676994,160.270004
2022-07-22,374.513428,294.70636,90.86441,95.407501,160.669998
2022-07-25,374.968414,293.027802,90.54184,94.601448,160.229996
2022-07-26,370.532227,287.270081,90.576683,94.584648,160.039993
2022-07-27,380.153534,299.410065,90.759773,95.214378,161.669998
2022-07-28,384.921509,302.337708,91.657791,96.003593,163.639999
2022-07-29,390.533325,307.85141,91.69265,96.230316,164.100006
2022-08-01,389.376831,307.665955,92.228951,96.420547,165.029999
2022-08-02,386.807953,306.748688,90.953812,95.242233,164.050003
2022-08-03,392.865143,315.102356,91.329376,96.277473,164.449997
2022-08-04,392.599762,316.575867,91.792267,96.428978,167.169998
2022-08-05,391.936279,313.989716,90.464729,95.124367,165.289993
2022-08-08,391.481201,312.974792,90.997475,95.503136,166.690002
2022-08-09,389.926605,309.432404,90.7267,95.073875,167.199997
2022-08-10,398.116608,318.068939,90.779121,95.97448,166.779999
2022-08-11,398.116608,316.26358,90.176476,95.04863,166.339996
2022-08-12,404.856293,322.421448,90.534599,96.151199,167.869995
2022-08-15,406.524658,325.026947,90.822769,96.083893,165.710007
2022-08-16,407.320923,324.265808,90.717987,95.713554,165.419998
2022-08-17,404.429779,320.5672,90.10659,94.813004,164.350006
2022-08-18,405.605225,321.338196,90.281303,95.05706,163.919998
2022-08-19,400.154663,315.072998,89.504005,93.929237,162.720001
2022-08-22,391.822388,306.777924,89.110954,93.298004,161.639999
2022-08-23,390.874542,306.524292,88.892639,93.398956,162.770004
2022-08-24,392.125763,307.412323,88.595665,93.121201,163.25
2022-08-25,397.661621,312.847992,89.163376,94.080727,163.75
2022-08-26,384.201141,300.024933,89.058548,93.516815,161.759995
2022-08-29,381.660797,297.067993,88.551956,92.826668,161.860001
2022-08-30,377.470917,293.759735,88.525772,92.944481,160.509995
2022-08-31,374.598724,292.052002,88.158958,91.96814,159.270004
2022-09-01,375.77417,292.178864,87.458145,91.414497,157.869995
2022-09-02,371.811798,288.050842,87.948143,91.482018,159.259995
2022-09-06,370.408905,285.981964,86.968201,90.241325,158.330002
2022-09-07,377.063324,291.759186,87.536903,91.473549,159.940002
2022-09-08,379.527924,293.27179,87.213181,91.262566,158.979996
2022-09-09,385.424011,299.683289,87.221924,91.473549,159.820007
2022-09-12,389.566437,303.24527,87.01194,91.271019,160.630005
2022-09-13,372.627014,286.616333,86.522003,90.612694,158.539993
2022-09-14,374.048889,288.890106,86.565727,91.043114,157.929993
2022-09-15,369.802246,284.079041,86.268234,90.604233,154.979996
2022-09-16,366.98111,282.341919,86.338234,90.393234,155.839996
2022-09-19,369.826996,284.540649,86.093254,90.545151,155.960007
2022-09-20,365.581909,282.272522,85.559563,89.642075,155.070007
2022-09-21,359.204834,277.218109,85.900787,89.979675,155.789993
2022-09-22,356.187561,273.806213,84.605888,88.713692,155.699997
2022-09-23,350.219696,269.348236,84.710884,88.460449,153.009995
2022-09-26,346.755066,268.233673,83.302246,86.92437,151.229996
2022-09-27,345.869904,268.341309,82.733528,85.616173,151.539993
2022-09-28,352.675354,273.679138,84.597137,87.337952,154.690002
2022-09-29,345.30835,265.789612,84.2034,86.688019,154.660004
2022-09-30,339.968628,261.282715,83.984665,86.468567,154.669998
2022-10-03,348.944214,267.412445,84.981407,88.06823,158.429993
2022-10-04,359.756744,275.82016,85.156754,88.474701,160.699997
2022-10-05,358.91922,275.673462,84.350235,87.80571,159.809998
2022-10-06,355.216675,273.503082,83.885582,87.602486,159.630005
2022-10-07,345.30835,263.081543,83.47361,86.730247,157.880005
